Location,Population,% ofworld,Date,Source (official or fromtheUnited Nations),Notes
Djibouti,"1,066,809",0.01%,20 May 2024,2024 census result[176],
Cyprus,"983,000",0.01%,31 Dec 2024,Official estimate[177],[ac]
Guyana,"956,044",0.01%,31 Dec 2024,Official estimate[178],
Comoros,"944,388",0.01%,2026,Official estimate[179],
Fiji,"902,623",0.01%,1 Jan 2026,National annual projection[180],
Bhutan,"784,043",0.009%,2025,National annual projection[181],
Solomon Islands,"750,325",0.009%,1 Jul 2024,National annual projection[182],
Luxembourg,"690,959",0.008%,1 Jan 2026,Official estimate[183],
Macau(China),"686,500",0.008%,30 Jun 2026,National quarterly estimate[184],
Montenegro,"622,902",0.008%,1 Jan 2026,Official estimate[185],
Suriname,"616,500",0.007%,1 Jul 2021,Official estimate[186],
Western Sahara(disputed),"610,813",0.007%,1 Jul 2026,UN projection[115],
Malta,"588,254",0.007%,31 Dec 2025,Official estimate[187],
Maldives,"515,132",0.006%,13 Sep 2022,2022 census result[188],
Cape Verde,"491,233",0.006%,16 Jun 2021,2021 census result[189],
Northern Cyprus,"476,214",0.006%,31 Dec 2023,Official projection[190],[ad]
Brunei,"458,600",0.006%,1 Jul 2025,Official estimate[191],
Belize,"418,982",0.005%,1 Jul 2026,Official estimate[192],
Bahamas,"398,165",0.005%,4 Apr 2022,2022 census result[193],
Iceland,"396,500",0.005%,1 Jul 2026,National quarterly estimate[194],
Transnistria,"367,776",0.004%,31 Mar 2024,Official estimate[195],[ae]
Vanuatu,"321,409",0.004%,1 Jul 2024,National annual projection[196],
French Polynesia(France),"279,500",0.003%,31 Dec 2024,National annual projection[197],
New Caledonia(France),"264,596",0.003%,1 Jan 2025,National annual projection[198],
Barbados,"261,692",0.003%,31 Dec 2025,Official estimate[199],
Abkhazia,"244,236",0.003%,1 Jan 2022,Official estimate[200],[af]
São Tomé and Príncipe,"209,607",0.003%,2024,Preliminary census result[201],
Samoa,"205,557",0.002%,6 Nov 2021,2021 Census[202],
Saint Lucia,"184,100",0.002%,1 Jul 2023,Official estimate[203],
Curaçao(Netherlands),"156,115",0.002%,1 Jan 2025,Official estimate[204],
Guam(US),"153,836",0.002%,1 Apr 2020,2020 census result[205],
Seychelles,"123,097",0.001%,31 Dec 2025,Official estimate[206],
Kiribati,"120,740",0.001%,1 Jul 2021,National annual projection[196],
Aruba(Netherlands),"110,625",0.001%,31 Dec 2025,Official estimate[207],
Saint Vincent and the Grenadines,"109,296",0.001%,15 Jun 2023,2023 census result[208],
Grenada,"109,021",0.001%,2021,Preliminary Census results[209],
Antigua and Barbuda,"103,603",0.001%,1 Jan 2024,Official estimate[210],
Jersey(UK),"103,267",0.001%,21 Mar 2021,2021 census result[211],
Tonga,"100,179",0.001%,30 Nov 2021,2021 census result[212],
Andorra,"89,752",0.001%,30 Jun 2026,Monthly national estimate[213],
Cayman Islands(UK),"88,833",0.001%,31 Dec 2024,National annual projection[214],
U.S. Virgin Islands(US),"87,146",0.001%,1 Apr 2020,2020 census result[215],
Isle of Man(UK),"84,975",0.001%,1 Apr 2025,Official estimate[216],
Micronesia,"75,817",0.0009%,12 Feb 2023,2023 Census[217],
Dominica,"65,514",0.0008%,2026,Official estimate[218],
Guernsey(UK),"64,781",0.0008%,31 Dec 2023,National quarterly estimate[219],
Bermuda(UK),"64,055",0.0008%,1 Jul 2021,National annual projection[220],
Greenland(Denmark),"56,740",0.0007%,1 Jan 2026,National quarterly estimate[221],
South Ossetia,"56,520",0.0007%,31 Dec 2021,Official estimate[222],[ag]
Faroe Islands(Denmark),"55,505",0.0007%,1 Jul 2026,Monthly national estimate[223],
Turks and Caicos Islands(UK),"52,299",0.0006%,1 Jul 2025,Official estimate[224],
Saint Kitts and Nevis,"51,320",0.0006%,2022,2022 census result[225],
